symbol,vwap
IWM,147.151
QQQ,164.79
CME,181.096
AMZN,1651.891
CROX,28.554
CRSP,31.962
CTAS,185.624
EBAY,33.563
EXEL,23.139
LABU,45.325
LABD,27.751
BSBR,12.759
LOPE,92.313
MLCO,21.45
EEM,42.431
NUVA,48.696
ARCC,16.22
NWSA,12.648
XLI,71.179
PZZA,42.312
BUD,74.646
SRPT,125.899
ABT,70.818
STX,43.454
TER,36.761
RWT,15.867
AZN,35.944
WBA,71.67
CNHI,10.121
CTSH,69.368
EXPE,118.98
FGEN,55.587
BWA,40.341
AU,13.739
LNT,43.237
SNPS,91.689
AMT,170.454
BEN,29.265
MU,38.215
CMCSA,35.483
APTV,73.201
NTRI,43.251
XRAY,41.399
CFX,24.912
EPR,72.39
CCEP,46.113
CCL,57.195
NWL,20.911
QCOM,49.973
DEO,144.671
DF,4.013
ADM,44.59
ETSY,53.81
AGI,4.407
EURN,7.724
APD,163.716
BTI,34.38
CLX,146.006
EDU,75.716
MAR,112.695
ADT,7.135
DISCK,24.51
GNK,7.314
GLNG,22.136
HSIC,77.668
ATUS,18.691
NTES,241.258
FTI,23.02
SBRA,20.409
FBHS,43.22
GLOG,18.351
DISH,29.455
CIEN,37.294
CYBR,86.099
HOG,35.884
ERJ,20.839
DHR,108.354
TTD,139.083
SENS,2.397
TNDM,42.346
UAL,87.131
RAIL,7.072
CREE,49.163
EVR,89.961
XBI,81.134
BHP,50.366
RSX,20.948
JACK,81.464
MXL,19.192
ZNGA,4.478
LIN,162.374
ULTA,288.799
IVZ,18.577
HMY,1.952
VZ,53.407
FSM,3.849
LITE,46.22
IVAC,5.319
BP,40.507
MSFT,105.537
NNN,52.063
BBY,58.875
LOXO,233.86
RARE,48.054
MPWR,125.953
CNI,83.377
SU,32.251
OSTK,17.892
ARRS,31.279
MTOR,20.297
MAT,12.275
SBUX,67.818
DTYS,19.499
EFA,62.577
LPL,8.758
DUK,86.059
NSA,28.577
PUK,39.278
CTL,14.875
PDCE,33.232
PRGO,45.472
LMT,290.172
KSS,68.798
RACE,112.022
RIO,55.148
HD,181.94
LEA,153.816
IX,74.189
MCD,183.35
TWLO,102.431
TRX,0.561
HPQ,22.091
HEXO,5.305
TMO,241.952
HUN,22.601
GGAL,35.127
TSS,89.014
MCK,124.956
TKC,6.917
VNE,29.34
FUTY,35.416
UL,53.005
EXTR,7.342
NMS,12.398
WSM,52.608
XRX,27.872
ENSG,42.41
PRA,42.483
MKC,123.053
UTSL,27.193
SJR,20.057
STT,70.718
ASML,175.449
YEXT,15.015
VLO,82.657
BAK,28.084
BHGE,23.841
ATNX,11.303
SNN,37.775
ACB,6.95
NFLX,336.307
PPDF,3.519
QGEN,37.254
ROG,122.073
TGS,16.76
ADBE,241.184
CKH,41.65
NAK,0.76
W,107.627
MRCC,11.824
PLAB,10.735
BXE,0.466
CEF,12.902
SVM,2.242
TECD,95.157
FRSX,2.11
ZVZZT,9.993
VXXB,37.693
GSK,38.904
BKEP,2.201
PBR,15.851
GILD,69.492
SQ,70.248
STNE,21.639
APHA,7.604
AMD,22.267
KLAC,104.747
GOLD,12.997
MVIS,0.821
PEG,53.158
CAJ,28.935
SONO,11.313
TQQQ,44.126
IQ,19.279
GLOW,0.138
GOVT,24.79
MIDU,36.921
CDE,5.0
BZQ,26.073
LXRX,4.347
FOXA,49.013
IDXX,207.198
ADP,139.152
NVDA,135.01
AKAM,64.326
UGL,38.89
WTER,3.49
CURE,51.432
AAPL,163.265
AVCO,5.502
IEFA,58.441
SAGE,132.223
LODE,0.178
TRGP,43.142
GLD,124.325
FCEL,0.513
EDV,112.343
MTEX,18.963
EA,88.04
GPP,15.345
ICPT,115.421
BRO,26.687
CYH,3.732
BBD,11.446
TMP,73.722
MYND,2.012
VNQ,82.468
ONCY,1.959
BPMX,0.102
USLV,80.668
SBLK,7.378
XLF,25.962
BIIB,326.058
TMFC,19.908
SXI,78.856
SILV,3.417
EWA,20.614
ATTU,24.548
IPFF,15.61
BA,388.156
BE,9.347
SPY,266.479
CODX,2.949
FSMB,20.174
FXI,42.352
CLDT,20.122
MCHP,79.52
INTC,47.036
UWT,14.194
XME,30.196
GOOGL,1088.711
EXP,71.026
CRON,18.7
KNSA,18.045
CRCM,23.077
OSB,28.892
NOBL,62.944
ONCS,0.871
TSCO,89.836
CPG,2.969
BKD,8.144
JD,24.325
WAT,230.604
DSGX,30.676
FDUSL,25.458
PEGI,20.974
NFEC,7.222
TXMD,5.034
FTNW,2.091
BNO,17.547
MBT,8.422
ARKK,41.802
CVNA,37.368
ZIXI,7.442
ERI,44.822
SINA,57.668
CELG,87.763
GOOG,1079.654
LBTYA,23.674
ORA,56.042
SFIX,23.201
VRTX,186.399
EPHE,34.407
XLP,52.278
HIMX,3.959
MRLN,22.178
GCV,4.923
FNKO,16.892
BOTZ,18.158
BKNG,1820.498
MDY,331.685
AVNW,13.786
BIB,51.613
TROV,0.68
CVGI,7.303
EB,30.984
CENTA,35.298
ICAD,5.415
CHKP,110.742
MOMO,29.538
PDD,29.131
BIOS,3.595
IYR,82.6
OLLI,76.844
XGTI,0.36
VSTO,10.297
PKOH,31.347
TUP,27.854
IYE,34.406
CREG,1.159
DOCU,48.871
EKSO,1.951
LONE,4.882
INDY,34.181
AABA,67.56
MXIM,53.785
UNIT,19.812
LSXMK,39.785
NKTR,42.705
CRNT,4.291
HLIT,5.138
CHEK,3.663
HRZN,11.779
DDM,42.922
BBBY,14.573
TEAM,94.856
CDW,82.557
OKTA,78.488
LFVN,14.512
AMTD,55.406
RESN,3.209
ELGX,0.75
UCO,18.297
FINX,24.96
MT,23.302
SSNC,50.539
HSBC,42.487
XOP,30.704
YUMA,0.113
ARTX,3.485
TOUR,4.428
VALE,12.493
HA,30.296
DNB,144.611
SC,18.691
OSK,73.357
CAMT,7.047
RYTM,26.187
KTOS,15.058
EYEN,3.443
LGND,116.986
SLAB,77.948
TRVN,1.125
PEIX,1.393
TWOU,56.248
AYX,70.244
SSYS,24.251
TLRY,79.096
SWKS,73.26
SKYY,52.552
TWMC,0.634
RYH,191.205
CNQ,27.146
EXAS,86.649
LADR,16.987
CUK,56.285
IOTS,4.908
FIVE,121.798
XLU,53.505
CSX,66.166
REGN,416.588
AGNC,17.97
NVLN,0.933
V,136.801
GDX,22.121
ALRM,62.031
BZUN,34.395
BSTC,64.344
MUC,12.848
AROC,9.681
BEDU,10.178
IGT,15.747
VLGEA,26.686
SGMO,11.44
OBE,0.407
TCPC,14.237
PCSB,20.323
PTCT,29.671
ERY,47.618
ERX,19.841
XLE,63.067
STIM,16.679
PLUG,1.388
LFUS,172.633
JMEI,2.597
CHTR,290.347
STAA,34.269
JAZZ,125.626
RVLT,0.637
KHC,46.786
AVEO,1.757
MIME,35.797
ZBRA,171.102
ALDR,13.658
TLT,120.731
EIGI,8.021
BBL,44.18
CDNA,26.671
YNDX,33.26
DIA,249.39
OIIM,1.51
IJH,182.316
PFG,47.68
PUB,29.425
HNRG,5.636
XLK,65.866
SDS,37.684
DTEA,1.494
GTHX,20.908
ATLO,25.182
ANTM,299.088
UBIO,26.805
