symbol,vwap
IWM,146.675
QQQ,163.69
CME,181.461
AMZN,1641.55
CROX,28.628
CRSP,31.717
CTAS,184.619
EBAY,33.324
EXEL,23.071
LABU,44.437
LABD,28.336
BSBR,12.515
LOPE,92.156
MLCO,21.334
EEM,42.007
NUVA,48.748
ARCC,16.193
NWSA,12.585
XLI,70.79
PZZA,42.429
BUD,74.538
SRPT,122.67
ABT,70.267
STX,43.172
TER,36.535
RWT,15.867
AZN,36.024
WBA,71.589
CNHI,10.065
CTSH,69.005
EXPE,118.174
FGEN,54.667
BWA,40.176
AU,13.678
LNT,43.112
SNPS,91.049
AMT,170.281
BEN,29.236
MU,38.098
CMCSA,35.451
APTV,72.688
NTRI,43.238
XRAY,41.078
CFX,24.726
EPR,72.506
CCEP,46.121
CCL,56.953
NWL,20.882
QCOM,49.767
DEO,144.561
DF,3.984
ADM,44.502
ETSY,53.553
AGI,4.373
EURN,7.74
APD,163.54
BTI,34.339
CLX,146.206
EDU,75.831
MAR,111.856
ADT,7.155
DISCK,24.125
GNK,7.147
GLNG,21.944
HSIC,77.483
ATUS,18.657
NTES,239.801
FTI,22.979
SBRA,20.367
FBHS,42.963
GLOG,18.223
DISH,29.298
CIEN,37.263
CYBR,85.772
HOG,35.562
ERJ,20.792
DHR,107.719
TTD,137.767
SENS,2.418
TNDM,41.706
UAL,86.401
RAIL,7.029
CREE,48.565
EVR,89.369
XBI,80.58
BHP,50.038
RSX,20.827
JACK,81.559
MXL,19.087
ZNGA,4.479
LIN,162.042
ULTA,288.704
IVZ,18.511
HMY,1.945
VZ,53.123
FSM,3.821
LITE,45.645
IVAC,5.337
BP,40.422
MSFT,105.054
NNN,52.07
BBY,58.746
LOXO,233.881
RARE,47.653
MPWR,125.476
CNI,83.271
SU,32.186
OSTK,17.802
ARRS,31.286
MTOR,20.348
MAT,12.213
SBUX,67.652
DTYS,19.907
EFA,62.238
LPL,8.774
DUK,85.945
NSA,28.639
PUK,39.139
CTL,14.772
PDCE,32.631
PRGO,45.238
LMT,289.296
KSS,68.692
RACE,111.408
RIO,55.086
HD,180.814
LEA,153.842
IX,74.014
MCD,184.984
TWLO,101.376
TRX,0.563
HPQ,22.037
HEXO,5.294
TMO,240.075
HUN,22.434
GGAL,34.705
TSS,88.089
MCK,125.055
TKC,6.871
VNE,29.276
FUTY,35.263
UL,53.036
EXTR,7.292
NMS,12.442
WSM,52.392
XRX,27.76
ENSG,42.314
PRA,42.416
MKC,123.381
UTSL,27.026
SJR,19.994
STT,70.291
ASML,174.75
YEXT,14.913
VLO,82.211
BAK,28.118
BHGE,23.695
ATNX,11.262
SNN,37.692
ACB,6.958
NFLX,333.701
PPDF,3.529
QGEN,37.157
ROG,120.544
TGS,16.743
ADBE,240.129
CKH,41.579
NAK,0.756
W,107.441
MRCC,11.828
PLAB,10.692
BXE,0.445
CEF,12.875
SVM,2.216
TECD,94.65
FRSX,2.122
ZVZZT,9.99
VXXB,38.219
GSK,39.048
BKEP,2.195
PBR,15.752
GILD,69.113
SQ,69.838
STNE,21.62
APHA,7.594
AMD,22.062
KLAC,103.905
GOLD,12.845
MVIS,0.822
PEG,53.017
CAJ,28.857
SONO,11.151
TQQQ,43.461
IQ,19.219
GLOW,0.129
GOVT,24.776
MIDU,36.343
CDE,4.933
BZQ,26.599
LXRX,4.31
FOXA,48.992
IDXX,206.67
ADP,138.397
NVDA,133.808
AKAM,64.003
UGL,38.757
WTER,3.49
CURE,51.153
AAPL,162.118
AVCO,5.486
IEFA,58.269
SAGE,131.871
LODE,0.18
TRGP,43.132
GLD,123.919
FCEL,0.513
EDV,112.494
MTEX,18.963
EA,87.469
GPP,15.345
ICPT,115.024
BRO,26.644
CYH,3.719
BBD,11.358
TMP,73.0
MYND,2.016
VNQ,82.342
ONCY,1.969
BPMX,0.102
USLV,79.518
SBLK,7.218
XLF,25.843
BIIB,325.497
TMFC,19.825
SXI,78.881
SILV,3.417
EWA,20.494
ATTU,24.284
IPFF,15.61
BA,388.195
BE,9.367
SPY,265.19
CODX,3.054
FSMB,20.14
FXI,42.037
CLDT,20.14
MCHP,78.83
INTC,46.748
UWT,14.188
XME,29.961
GOOGL,1082.108
EXP,71.392
CRON,18.711
KNSA,17.936
CRCM,23.077
OSB,28.731
NOBL,62.731
ONCS,0.841
TSCO,89.94
CPG,2.947
BKD,8.074
JD,24.122
WAT,229.929
DSGX,30.583
FDUSL,25.3
PEGI,21.029
NFEC,7.298
TXMD,5.004
FTNW,2.1
BNO,17.577
MBT,8.379
ARKK,41.575
CVNA,37.456
ZIXI,7.507
ERI,44.672
SINA,57.543
CELG,87.695
GOOG,1072.21
LBTYA,23.528
ORA,55.893
SFIX,23.212
VRTX,185.555
EPHE,34.238
XLP,52.203
HIMX,3.901
MRLN,22.218
GCV,4.912
FNKO,16.968
BOTZ,18.071
BKNG,1817.083
MDY,330.494
AVNW,13.787
BIB,51.128
TROV,0.673
CVGI,7.235
EB,31.028
CENTA,35.101
ICAD,5.373
CHKP,110.947
MOMO,29.41
PDD,29.261
BIOS,3.589
IYR,82.501
OLLI,76.717
XGTI,0.361
VSTO,10.27
PKOH,31.223
TUP,27.974
IYE,34.299
CREG,1.15
DOCU,48.682
EKSO,1.972
LONE,4.889
INDY,33.923
AABA,67.237
MXIM,53.332
UNIT,19.849
LSXMK,39.464
NKTR,42.4
CRNT,4.228
HLIT,5.132
CHEK,3.773
HRZN,11.728
DDM,42.708
BBBY,14.516
TEAM,94.865
CDW,82.244
OKTA,78.082
LFVN,14.457
AMTD,55.353
RESN,3.304
ELGX,0.747
UCO,18.288
FINX,24.903
MT,23.154
SSNC,50.149
HSBC,42.466
XOP,30.497
YUMA,0.113
ARTX,3.455
TOUR,4.42
VALE,12.453
HA,29.972
DNB,144.615
SC,18.52
OSK,73.321
CAMT,6.984
RYTM,25.957
KTOS,15.113
EYEN,3.519
LGND,116.616
SLAB,78.301
TRVN,1.128
PEIX,1.411
TWOU,55.913
AYX,69.924
SSYS,24.044
TLRY,79.869
SWKS,72.681
SKYY,52.309
TWMC,0.634
RYH,189.713
CNQ,27.019
EXAS,85.983
LADR,16.957
CUK,56.133
IOTS,4.839
FIVE,121.967
XLU,53.403
CSX,65.8
REGN,414.751
AGNC,17.979
NVLN,0.931
V,136.231
GDX,21.884
ALRM,62.042
BZUN,34.371
BSTC,64.622
MUC,12.85
AROC,9.513
BEDU,10.161
IGT,15.661
VLGEA,26.667
SGMO,11.298
OBE,0.422
TCPC,14.241
PCSB,20.381
PTCT,29.487
ERY,47.978
ERX,19.657
XLE,62.871
STIM,16.623
PLUG,1.393
LFUS,174.455
JMEI,2.582
CHTR,289.853
STAA,33.992
JAZZ,125.785
RVLT,0.633
KHC,46.831
AVEO,1.751
MIME,35.223
ZBRA,170.537
ALDR,12.902
TLT,120.8
EIGI,7.942
BBL,43.916
CDNA,26.452
YNDX,32.832
DIA,248.707
OIIM,1.51
IJH,181.764
PFG,47.472
PUB,29.468
HNRG,5.616
XLK,65.495
SDS,38.046
DTEA,1.497
GTHX,20.819
ATLO,25.304
ANTM,299.914
UBIO,26.27
CDK,49.378
GM,38.479
EWZ,43.769
MB,36.416
VWO,40.712
SAP,101.545
OLN,23.696
XLB,53.85
JOBS,66.446
NYMT,6.237
SSRM,13.286
ENFC,23.409
TSLA,301.172
TECS,22.731
SDG,56.378
CSBR,11.157
EZU,37.21
PII,83.11
PEP,110.155
VOO,244.118
OMER,12.947
TIPT,5.877
DFEN,40.994
TCMD,66.078
ACIU,3.811
VBIV,1.641
SLVO,7.056
VGIT,63.384
TLP,40.833
OPP,16.847
OHI,39.393
XLRE,33.893
BTX,1.484
TVIX,45.967
XLY,106.828
LAUR,15.721
CBPO,78.416
XBIT,6.478
ZS,45.471
DEUR,29.717
HUYA,20.155
XLNX,111.269
LPLA,69.595
EMB,107.17
CLCT,13.536
GLOP,22.574
KRYS,21.761
HQY,62.845
OPK,3.634
ARNA,44.181
NYCB,11.202
FC,23.925
HYRE,4.511
SIG,24.247
GRVY,38.167
JE,3.715
RBZ,1.405
CULP,18.205
FBIO,1.559
LOGI,35.959
CTRP,31.94
RDS.A,59.459
SNY,42.454
TEF,8.642
URGN,40.59
JNUG,10.459
HALL,9.65
MLNX,86.232
TUES,1.836
ROKU,43.613
EVOP,25.2
GRPN,3.642
DLS,64.313
PAYX,70.262
TTOO,3.467
ARAV,3.75
DOMO,25.487
CGNX,43.555
ERIC,8.821
SEND,49.176
RRTS,0.486
QQQX,21.444
KVHI,10.975
IBB,106.665
SPN,3.755
RFIL,8.198
TWTR,31.824
CBAT,1.093
UCBI,26.142
VREX,28.019
GSVC,5.663
UGAZ,38.781
PETX,4.263
CY,13.781
NXPI,86.434
COHR,111.463
XLV,88.795
PYPL,91.644
WPP,57.692
BTG,3.024
CTXS,101.157
TELL,9.573
AVGO,269.872
SAM,244.275
RKDA,3.528
TROW,87.848
SPLK,121.039
EARS,0.427
TGTX,4.198
CPTA,8.192
MITK,10.779
UAA,20.925
MDB,88.058
SDLP,1.047
ADI,97.716
ABMD,330.717
PGNX,4.479
STLD,36.46
NBN,19.961
CRZO,11.921
EAGL,10.21
P,8.482
SESN,0.73
ILMN,273.879
BNDX,54.688
SIEN,11.186
GSIT,7.789
MRCY,57.769
WHLR,1.583
COST,210.277
BLUE,126.988
NCNA,13.32
VUZI,4.038
GRTS,12.931
ALGN,219.914
ARCE,25.318
FB,147.276
PDLI,3.158
SNE,48.509
MTP,0.122
HIHO,2.969
UCFC,9.366
CSCO,46.139
FBSS,19.25
FTR,1.882
AXTI,3.966
ASLN,3.506
TPVG,12.566
OILU,21.354
CLDC,1.228
BABA,164.031
SAFM,122.626
GRFS,18.616
PHII,3.437
SIRI,5.895
TME,14.981
IGLD,0.592
MIXT,15.677
NTGN,4.545
SCYX,0.708
SPWR,5.605
CZR,8.985
NGG,53.75
NTNX,49.909
CFMS,0.552
SAEX,4.098
NOK,6.488
LULU,149.469
AMGN,182.799
PTN,0.675
CSIQ,20.773
PLPC,55.465
RDS.B,60.637
SQQQ,13.647
MGTX,9.286
CIO,11.405
CNAT,2.202
OTIC,1.999
GRMN,68.649
IPCI,0.341
NVUS,2.934
SSO,103.752
SVXY,46.465
SPXU,38.622
SPXL,38.67
SPXS,25.623
SH,29.549
SDOW,15.642
MCHI,57.795
WDAY,169.173
GERN,1.027
INSY,3.441
BHF,36.695
BKYI,1.411
PRAH,103.428
BSMX,7.382
LRCX,169.214
PCAR,64.176
ISRG,496.38
CMRX,2.282
GRNQ,3.2
NVTR,13.939
ARCW,0.998
CHFC,45.005
FOLD,11.288
ORLY,342.865
DGRW,40.135
BPRN,29.827
SIMO,38.468
NBEV,7.202
SLX,39.159
FHB,26.364
INSE,6.756
IWB,147.617
ATRO,30.709
YORW,32.488
INVA,20.236
ACRX,2.403
SMBC,34.278
MIK,13.86
AQ,8.707
PI,14.485
INTU,211.742
AROW,30.861
EVLV,0.57
LTRPA,16.16
SRTS,7.656
X,22.137
TEUM,2.46
EIGR,13.769
GNTX,21.435
QSR,62.184
GALT,4.955
PYDS,2.448
IWF,139.421
AFL,47.214
TXN,100.943
CPL,17.042
FCX,11.051
WELL,76.613
NTR,51.952
PHG,37.738
JNJ,131.045
ERIE,144.043
RELX,21.913
TOT,53.721
CMSSW,0.23
TTWO,101.79
PAVM,1.012
RGSE,0.513
SND,2.529
TOPS,0.94
PETZ,0.618
VRSN,165.657
EXPO,49.141
SXTC,6.985
LILA,15.968
CARA,14.881
STI,61.247
WATT,7.357
WDC,42.868
IEMG,50.493
RTIX,4.346
ESGRP,25.163
DFS,67.165
NVCN,0.74
JBLU,18.243
AMP,118.721
GPRO,4.899
CLXT,12.419
IONS,54.525
GD,167.541
FLXS,24.725
MKGI,2.384
HYGS,7.369
EQNR,22.425
VNQI,56.846
WPM,20.205
AAXN,48.724
DUST,20.227
SUNW,0.38
EZPW,9.254
DJP,22.535
NBIX,85.837
CLSD,1.127
MELI,358.16
VIXY,31.411
MRVL,18.329
CWCO,12.713
IDTI,48.776
PDVW,38.406
ALV,77.417
HLT,73.911
CVLT,64.451
MMS,68.424
DBX,23.542
RARX,19.924
VSTM,3.113
CLDX,0.374
APDNW,0.019
AMRN,16.874
OPI,32.283
RWLK,0.282
GOGL,5.016
SCPH,3.882
HONE,15.192
CBLK,15.446
KOPN,1.274
IRTC,83.637
CAT,127.727
