symbol,vwap
IWM,146.544
QQQ,163.446
CME,181.363
AMZN,1637.563
CROX,28.72
CRSP,31.417
CTAS,183.895
EBAY,33.366
EXEL,23.111
LABU,44.217
LABD,28.47
BSBR,12.512
LOPE,92.331
MLCO,21.3
EEM,41.992
NUVA,48.84
ARCC,16.119
NWSA,12.581
XLI,70.686
PZZA,42.585
BUD,74.521
SRPT,120.034
ABT,70.062
STX,43.13
TER,36.558
RWT,15.86
AZN,36.045
WBA,71.479
CNHI,10.031
CTSH,68.91
EXPE,117.787
FGEN,53.785
BWA,40.114
AU,13.685
LNT,42.99
SNPS,90.881
AMT,170.199
BEN,29.189
MU,38.212
CMCSA,35.432
APTV,72.426
NTRI,43.27
XRAY,41.01
CFX,24.721
EPR,72.427
CCEP,46.132
CCL,56.891
NWL,20.777
QCOM,49.737
DEO,144.542
DF,3.968
ADM,44.401
ETSY,53.448
AGI,4.375
EURN,7.765
APD,163.5
BTI,34.334
CLX,146.39
EDU,76.343
MAR,111.673
ADT,7.154
DISCK,23.905
GNK,6.999
GLNG,21.869
HSIC,77.379
ATUS,18.659
NTES,239.554
FTI,22.984
SBRA,20.267
FBHS,42.95
GLOG,18.152
DISH,29.306
CIEN,37.291
CYBR,84.862
HOG,35.3
ERJ,20.792
DHR,107.019
TTD,137.01
SENS,2.432
TNDM,41.637
UAL,86.064
RAIL,7.026
CREE,48.404
EVR,89.292
XBI,80.402
BHP,50.038
RSX,20.804
JACK,81.627
MXL,19.063
ZNGA,4.485
LIN,162.099
ULTA,288.535
IVZ,18.408
HMY,1.953
VZ,52.972
FSM,3.823
LITE,45.481
IVAC,5.374
BP,40.417
MSFT,104.735
NNN,52.025
BBY,58.728
LOXO,233.958
RARE,47.509
MPWR,125.533
CNI,83.232
SU,32.213
OSTK,17.811
ARRS,31.291
MTOR,20.462
MAT,12.22
SBUX,67.667
DTYS,19.85
EFA,62.213
LPL,8.801
DUK,85.967
NSA,28.616
PUK,39.144
CTL,14.724
PDCE,32.429
PRGO,45.195
LMT,288.785
KSS,68.669
RACE,111.101
RIO,55.213
HD,180.535
LEA,153.824
IX,73.851
MCD,186.235
TWLO,101.377
TRX,0.565
HPQ,22.038
HEXO,5.279
TMO,238.76
HUN,22.431
GGAL,34.74
TSS,87.991
MCK,125.126
TKC,6.861
VNE,29.274
FUTY,35.259
UL,53.033
EXTR,7.21
NMS,12.442
WSM,52.359
XRX,27.664
ENSG,42.167
PRA,42.349
MKC,123.298
UTSL,27.014
SJR,19.987
STT,70.161
ASML,174.831
YEXT,14.802
VLO,82.045
BAK,28.148
BHGE,23.642
ATNX,11.242
SNN,37.667
ACB,6.951
NFLX,334.003
PPDF,3.533
QGEN,37.12
ROG,120.346
TGS,16.655
ADBE,240.029
CKH,41.616
NAK,0.756
W,107.234
MRCC,11.843
PLAB,10.693
BXE,0.44
CEF,12.876
SVM,2.198
TECD,94.624
FRSX,2.097
ZVZZT,9.989
VXXB,38.333
GSK,39.042
BKEP,2.194
PBR,15.742
GILD,69.079
SQ,69.958
STNE,21.68
APHA,7.548
AMD,22.025
KLAC,103.843
GOLD,12.84
MVIS,0.822
PEG,53.006
CAJ,28.89
SONO,11.073
TQQQ,43.317
IQ,19.212
GLOW,0.129
GOVT,24.777
MIDU,36.246
CDE,4.929
BZQ,26.553
LXRX,4.304
FOXA,48.958
IDXX,206.193
ADP,137.846
NVDA,133.55
AKAM,64.059
UGL,38.747
WTER,3.491
CURE,50.597
AAPL,161.959
AVCO,5.483
IEFA,58.242
SAGE,131.858
LODE,0.17
TRGP,43.087
GLD,123.924
FCEL,0.511
EDV,112.491
MTEX,18.963
EA,87.518
GPP,15.241
ICPT,114.988
BRO,26.619
CYH,3.725
BBD,11.386
TMP,73.0
MYND,2.022
VNQ,82.263
ONCY,1.972
BPMX,0.102
USLV,79.484
SBLK,7.175
XLF,25.813
BIIB,325.615
TMFC,19.812
SXI,78.917
SILV,3.44
EWA,20.479
ATTU,24.189
IPFF,15.61
BA,387.465
