symbol,vwap
IWM,146.622
QQQ,163.619
CME,181.44
AMZN,1640.048
CROX,28.673
CRSP,31.525
CTAS,184.186
EBAY,33.321
EXEL,23.071
LABU,44.352
LABD,28.398
BSBR,12.515
LOPE,92.15
MLCO,21.317
EEM,42.0
NUVA,48.779
ARCC,16.163
NWSA,12.581
XLI,70.747
PZZA,42.471
BUD,74.532
SRPT,121.942
ABT,70.221
STX,43.154
TER,36.524
RWT,15.862
AZN,36.041
WBA,71.57
CNHI,10.058
CTSH,68.955
EXPE,117.987
FGEN,54.244
BWA,40.151
AU,13.68
LNT,43.075
SNPS,90.988
AMT,170.259
BEN,29.239
MU,38.129
CMCSA,35.44
APTV,72.579
NTRI,43.243
XRAY,41.048
CFX,24.741
EPR,72.491
CCEP,46.13
CCL,56.94
NWL,20.862
QCOM,49.744
DEO,144.571
DF,3.978
ADM,44.473
ETSY,53.486
AGI,4.374
EURN,7.761
APD,163.523
BTI,34.336
CLX,146.313
EDU,75.983
MAR,111.787
ADT,7.156
DISCK,24.043
GNK,7.051
GLNG,21.926
HSIC,77.469
ATUS,18.662
NTES,239.781
FTI,22.985
SBRA,20.35
FBHS,42.942
GLOG,18.19
DISH,29.299
CIEN,37.271
CYBR,85.559
HOG,35.521
ERJ,20.789
DHR,107.541
TTD,137.707
SENS,2.426
TNDM,41.67
UAL,86.265
RAIL,7.03
CREE,48.426
EVR,89.286
XBI,80.474
BHP,50.034
RSX,20.822
JACK,81.58
MXL,19.076
ZNGA,4.481
LIN,162.09
ULTA,288.643
IVZ,18.474
HMY,1.949
VZ,53.099
FSM,3.821
LITE,45.58
IVAC,5.337
BP,40.426
MSFT,104.966
NNN,52.073
BBY,58.729
LOXO,233.904
RARE,47.55
MPWR,125.378
CNI,83.294
SU,32.211
OSTK,17.777
ARRS,31.289
MTOR,20.401
MAT,12.212
SBUX,67.643
DTYS,19.908
EFA,62.231
LPL,8.787
DUK,85.973
NSA,28.63
PUK,39.152
CTL,14.754
PDCE,32.527
PRGO,45.198
LMT,288.916
KSS,68.69
RACE,111.252
RIO,55.142
HD,180.738
LEA,153.871
IX,73.862
MCD,185.234
TWLO,101.37
TRX,0.564
HPQ,22.039
HEXO,5.293
TMO,239.729
HUN,22.429
GGAL,34.709
TSS,88.024
MCK,125.063
TKC,6.866
VNE,29.284
FUTY,35.259
UL,53.041
EXTR,7.254
NMS,12.442
WSM,52.383
XRX,27.733
ENSG,42.251
PRA,42.382
MKC,123.412
UTSL,27.035
SJR,19.993
STT,70.244
ASML,174.776
YEXT,14.877
VLO,82.16
BAK,28.143
BHGE,23.683
ATNX,11.25
SNN,37.687
ACB,6.957
NFLX,333.703
PPDF,3.531
QGEN,37.146
ROG,120.45
TGS,16.73
ADBE,240.05
CKH,41.601
NAK,0.756
W,107.397
MRCC,11.833
PLAB,10.692
BXE,0.444
CEF,12.88
SVM,2.211
TECD,94.628
FRSX,2.109
ZVZZT,9.99
VXXB,38.256
GSK,39.047
BKEP,2.195
PBR,15.745
GILD,69.099
SQ,69.87
STNE,21.67
APHA,7.56
AMD,22.047
KLAC,103.87
GOLD,12.84
MVIS,0.822
PEG,53.018
CAJ,28.87
SONO,11.09
TQQQ,43.407
IQ,19.211
GLOW,0.129
GOVT,24.776
MIDU,36.343
CDE,4.93
BZQ,26.568
LXRX,4.308
FOXA,48.988
IDXX,206.495
ADP,138.182
NVDA,133.628
AKAM,64.023
UGL,38.75
WTER,3.49
CURE,51.144
AAPL,161.998
AVCO,5.486
IEFA,58.259
SAGE,131.813
LODE,0.18
TRGP,43.108
GLD,123.921
FCEL,0.511
EDV,112.499
MTEX,18.963
EA,87.422
GPP,15.35
ICPT,115.014
BRO,26.644
CYH,3.716
BBD,11.377
TMP,73.0
MYND,2.02
VNQ,82.3
ONCY,1.969
BPMX,0.102
USLV,79.517
SBLK,7.192
XLF,25.837
BIIB,325.236
TMFC,19.823
SXI,78.909
SILV,3.42
EWA,20.481
ATTU,24.271
IPFF,15.61
BA,387.923
BE,9.366
SPY,265.115
CODX,3.095
FSMB,20.14
FXI,42.036
CLDT,20.142
MCHP,78.83
INTC,46.702
UWT,14.165
XME,29.944
GOOGL,1081.519
EXP,71.587
CRON,18.654
KNSA,17.957
CRCM,23.142
OSB,28.764
NOBL,62.712
ONCS,0.84
TSCO,89.961
CPG,2.935
BKD,8.048
JD,24.098
WAT,229.835
DSGX,30.572
FDUSL,25.3
PEGI,21.063
NFEC,7.316
TXMD,4.971
FTNW,2.103
