symbol,vwap
IWM,146.398
QQQ,163.438
CME,181.358
AMZN,1634.908
CROX,28.673
CRSP,31.357
CTAS,183.147
EBAY,33.56
EXEL,23.117
LABU,44.179
LABD,28.49
BSBR,12.509
LOPE,92.467
MLCO,21.284
EEM,41.98
NUVA,48.818
ARCC,16.098
NWSA,12.595
XLI,70.659
PZZA,42.422
BUD,74.467
SRPT,119.226
ABT,69.915
STX,43.134
TER,36.55
RWT,15.853
AZN,36.083
WBA,71.368
CNHI,10.018
CTSH,68.848
EXPE,117.646
FGEN,53.703
BWA,40.049
AU,13.71
LNT,42.879
SNPS,90.718
AMT,170.151
BEN,29.318
MU,38.238
CMCSA,35.465
APTV,72.149
NTRI,43.295
XRAY,40.991
CFX,24.677
EPR,72.25
CCEP,46.012
CCL,56.851
NWL,20.83
QCOM,49.839
DEO,144.712
DF,3.929
ADM,44.291
ETSY,53.367
AGI,4.376
EURN,7.778
APD,163.775
BTI,34.337
CLX,146.277
EDU,76.648
MAR,111.494
ADT,7.135
DISCK,23.865
GNK,6.99
GLNG,21.67
HSIC,77.173
ATUS,18.661
NTES,240.617
FTI,22.967
SBRA,20.202
FBHS,42.739
GLOG,18.105
DISH,29.247
CIEN,37.376
CYBR,84.476
HOG,35.077
ERJ,20.803
DHR,106.628
TTD,136.59
SENS,2.447
TNDM,41.854
UAL,85.864
RAIL,7.018
CREE,48.35
EVR,89.262
XBI,80.391
BHP,50.065
RSX,20.808
JACK,81.427
MXL,18.975
ZNGA,4.492
LIN,162.084
ULTA,287.888
IVZ,18.322
HMY,1.948
VZ,52.725
FSM,3.855
LITE,45.465
IVAC,5.405
BP,40.425
MSFT,104.738
NNN,51.872
BBY,58.774
LOXO,233.985
RARE,47.367
MPWR,126.102
CNI,83.215
SU,32.185
OSTK,17.761
ARRS,31.294
MTOR,20.684
MAT,12.216
SBUX,67.719
DTYS,19.85
EFA,62.185
LPL,8.813
DUK,85.932
NSA,28.385
PUK,39.174
CTL,14.623
PDCE,32.097
PRGO,45.16
LMT,288.667
KSS,68.64
RACE,110.769
RIO,55.363
HD,180.441
LEA,153.605
IX,73.865
MCD,186.479
TWLO,101.268
TRX,0.567
HPQ,22.039
HEXO,5.252
TMO,238.544
HUN,22.43
GGAL,34.768
TSS,87.619
MCK,125.503
TKC,6.869
VNE,29.255
FUTY,35.18
UL,53.062
EXTR,7.084
NMS,12.5
WSM,52.33
XRX,27.516
